I want previous year papers,exam
I want solutions of sessional papers,exam
I did not give sessional exam for 1 subject,exam
do we have viva for each subject,exam
I want solutions of external papers,exam
passing marks for each exam,exam
when do we have sessional exams,exam
where can I find previous year papers,exam
what are the passing marks for sessional exams,exam
what if I skip one paper of sessional exam,exam
what if I fail in practical exam,exam
I failed in external exam,exam
what is remedial exam,exam
sessional exam is of how many marks,exam
what is sessional exam,exam
where can I find solutions to papers,exam
when do we have remedial exam,exam
how often do we have exams,exam
passing marks for remedial exam,exam
what if I fail in external exams,exam
when do we have viva,exam
passing marks for external exam,exam
what are the passing marks for external exams,exam
how many exams do we have per semester,exam
number of exams per semester ,exam
what if I fail in a viva exam,exam
tell me about block exam,exam
when do we have external exams,exam
I did not give external exam for 1 subject,exam
what is the fees for nri,fee
in what ways can I pay the fees,fee
what is the fee for gia,fee
what is the fee for nri,fee
what is the fees structure for nri,fee
how do we submit fees,fee
I can pay the fees between which time,fee
from where do I get the fee receipt signed ,fee
does the fee change every year,fee
what is the fee for sfi,fee
does the amount of fee differ for all branches of engineering,fee
where can we submit fees,fee
process to generate fee receipt,fee
when is fees submission due,fee
can I pay the fees through cheque,fee
whom to pay the fees,fee
is the amount of fee different for every year,fee
when do we need to submit fees,fee
where do we need to submit fees,fee
what is the amount of late fees,fee
where is fees submitted,fee
is the amount of fee different for every branch,fee
when can we submit fees,fee
how do we get fees reciept,fee
different ways in which fees can be paid,fee
where can the fees be submitted,fee
timing of fee payment,fee
when to pay the fees,fee
what is the fees for gia,fee
what is the fees structure for sfi,fee
till when can we submit fees,fee
when do i have to pay the fees,fee
when is the fees to be submitted,fee
how to submit fees,fee
where is the fees to be submitted,fee
what is the fees structure for gia,fee
how can I generate the fee receipt,fee
what if I fail to pay the fees on time,fee
what is the fees for sfi,fee
where can we submit fees,fee
is the amount of fee different for every semester,fee
tell me about the fee payment process,fee
how can we submit fees,fee
can I pay the fees in cash,fee
what is the fees structure,fee
what is the amount of fees for engineering students,fee
how to pay the fees,fee
where can I get good lunch from,food
where is dinner available,food
where is good lunch available,food
where can I eat snacks,food
where is breakfast available,food
where can I get good dinner from,food
when is breakfast available in canteen,food
when is snacks available in canteen,food
where can I eat dinner,food
where can I get good snacks from,food
where can I get good breakfast from,food
where can i eat lunch,food
where are snacks available,food
where is good breakfast available,food
where is lunch available,food
where can I eat dinner,food
where can I eat breakfast,food
where can I eat breakfast,food
where is good dinner available,food
where can I eat lunch,food
where can I get good food from,food
when is lunch available in canteen,food
where can I eat lunch,food
when is dinner available,food
where is good snacks available,food
how can I generate the hall ticket,hallticket
can you help me with hall ticket generation,hallticket
do I have to generate hall ticket from student panel,hallticket
from whom do I need to get the hall ticket signed,hallticket
what if i miss the dates of getting the hall ticket signed,hallticket
I forgot to carry hall ticket with me to exam hall,hallticket
I want information about hall ticket,hallticket
from where can I get the hall ticket,hallticket
where can I get the hall ticket signed from,hallticket
how many days before the exam is hall ticket generated,hallticket
may I know how to generate hall ticket,hallticket
when is the hall ticket generated,hallticket
who signs the hall ticket,hallticket
how to generate hall ticket,hallticket
can you give me information about hall ticket,hallticket
what if I forget to carry the hall ticket with me on the day of exam,hallticket
is hallticket necessary for every exam,hallticket
tell me the process of generating hall ticket,hallticket
what is the date and time of getting the hall ticket signed,hallticket
do we have hall ticket for every exam,hallticket
from where do I need to get the hall ticket signed,hallticket
I forgot to get the hall ticket signed what to do,hallticket
I want to generate hall ticket,hallticket
instrumentation and control sem5 time table,ictt
4th year ic time table,ictt
ic sem5 time table,ictt
show me the time table of instrumentation and control sem5,ictt
2nd year ic time table,ictt
4th year instrumentation and control time table,ictt
instrumentation and control sem1 time table,ictt
instrumentation and control sem7 time table,ictt
show me the time table of instrumentation and control sem4,ictt
instrumentation and control sem4 time table,ictt
instrumentation and control sem2 time table,ictt
ic sem7 time table,ictt
show me the time table of instrumentation and control sem7,ictt
2nd year instrumentation and control time table,ictt
show me the time table of ic sem4,ictt
show me the time table of instrumentation and control sem2,ictt
3rd year ic time table,ictt
instrumentation and control sem3 time table,ictt
3rd year instrumentation and control time table,ictt
ic sem1 time table,ictt
show me the time table of instrumentation and control sem1,ictt
ic sem6 time table,ictt
ic sem2 time table,ictt
show me the time table of ic sem1,ictt
ic sem3 time table,ictt
1st year instrumentation and control time table,ictt
show me the time table of ic sem3,ictt
show me the time table of ic sem6,ictt
ic sem4 time table,ictt
show me the time table of instrumentation and control sem6,ictt
instrumentation and control sem6 time table,ictt
show me the time table of ic sem2,ictt
show me the time table of ic sem7,ictt
show me the time table of instrumentation and control sem3,ictt
show me the time table of ic sem5,ictt
1st year ic time table,ictt
how much do I need to pay to become a member of ieee club,ieee
tell me about ieee club,ieee
what is ieee all about,ieee
coordinator of ieee,ieee
tell me about ieee club,ieee
the person to contact for queries related to ieee,ieee
what roles does ieee provide for students,ieee
how can I register for ieee club,ieee
I want to register for ieee,ieee
I want information on ieee club,ieee
3rd year it time table,ittt
it sem7 time table,ittt
show me the time table of information technology sem5,ittt
4th year it time table,ittt
information technology sem7 time table,ittt
show me the time table of it sem7,ittt
it sem2 time table,ittt
show me the time table of it sem6,ittt
show me the time table of information technology sem4,ittt
show me the time table of it sem4,ittt
show me the time table of it sem3,ittt
4th year information technology time table,ittt
information technology sem3 time table,ittt
show me the time table of information technology sem7,ittt
information technology sem4 time table,ittt
show me the time table of it sem5,ittt
3rd year information technology time table,ittt
1st year it time table,ittt
it sem5 time table,ittt
it sem1 time table,ittt
information technology sem5 time table,ittt
show me the time table of information technology sem3,ittt
2nd year information technology time table,ittt
show me the time table of it sem2,ittt
show me the time table of it sem1,ittt
it sem3 time table,ittt
information technology sem1 time table,ittt
1st year information technology time table,ittt
information technology sem6 time table,ittt
2nd year it time table,ittt
it sem4 time table,ittt
information technology sem2 time table,ittt
it sem6 time table,ittt
show me the time table of information technology sem1,ittt
show me the time table of information technology sem6,ittt
show me the time table of information technology sem2,ittt
how much weightage does journal hold,journal
when is journal submission,journal
when is journal to be submitted,journal
what are the marks for journal,journal
what is the submission date,journal
who takes submission,journal
what weightage does journal hold,journal
when do we need to submit journal,journal
when do we write journal,journal
why do we need to submit journals,journal
how many marks are there for journals,journal
when are submissions to be done,journal
what do we need to write in journal,journal
what do we write in journal,journal
when is submission,journal
when is the submission for journal,journal
what if I forget to return the book before the deadline,library
I crossed the deadline of renewing the book,library
when does the library close,library
library opening time,library
library closing time,library
how are the books issued from library,library
what is the penalty for late return of the book,library
can I issue a book if my icard is blocked,library
how often do I need to renew a book,library
can I issue a book without my id,library
I crossed the deadline of returning the book,library
what are the library timings,library
how many books can I issue from library,library
how many libraries do we have,library
when does the library open,library
how to issue a book from library,library
how can I get notes,material
where to buy study materials from,material
how can I get study materials to read,material
where do I get the books,material
from which shop can I get notes from,material
from which shop can I get study materials from,material
from where can I get the books,material
where can I books from,material
how can I get study materials to refer to,material
from where can I buy study materials,material
who do i get notes from,material
where to buy notes from,material
where can I get the study material,material
when do we get notes,material
where do I get the books from,material
from where can I buy notes,material
from where can I get notes,material
where can I get the notes,material
how can I get notes to refer to,material
when do we get study material,material
from where can I get study material,material
who do i get study materials from,material
how can I get the books,material
from where can I buy study materials,materials
from where can I buy books,materials
mechanical sem1 time table,mhtt
show me the time table of mh sem2,mhtt
show me the time table of mechanical sem2,mhtt
show me the time table of mh sem7,mhtt
show me the time table of mh sem4,mhtt
show me the time table of mechanical sem1,mhtt
show me the time table of mh sem3,mhtt
mh sem4 time table,mhtt
mh sem6 time table,mhtt
mechanical sem7 time table,mhtt
show me the time table of mechanical sem6,mhtt
1st year mechanical time table,mhtt
mh sem2 time table,mhtt
show me the time table of mechanical sem4,mhtt
show me the time table of mh sem1,mhtt
mechanical sem3 time table,mhtt
3rd year mh time table,mhtt
mh sem3 time table,mhtt
show me the time table of mh sem6,mhtt
1st year mh time table,mhtt
4th year mechanical time table,mhtt
mh sem7 time table,mhtt
mechanical sem6 time table,mhtt
mechanical sem5 time table,mhtt
4th year mh time table,mhtt
mh sem5 time table,mhtt
mh sem1 time table,mhtt
show me the time table of mh sem5,mhtt
2nd year mh time table,mhtt
mechanical sem4 time table,mhtt
show me the time table of mechanical sem3,mhtt
mechanical sem2 time table,mhtt
show me the time table of mechanical sem5,mhtt
3rd year mechanical time table,mhtt
show me the time table of mechanical sem7,mhtt
2nd year mechanical time table,mhtt
I want information on nss,nss
what kind of activities are done by nss,nss
what activities are done by nss,nss
what is nss all about,nss
the person to contact for queries related to nss,nss
I want to register for nss,nss
coordinator of nss,nss
how much do I need to pay to become a member of nss,nss
tell me about nss,nss
how can I register for nss,nss
I want information on shutterbugs,shutterbugs
how can I become a member of shutterbugs,shutterbugs
I want to register for shutterbugs,shutterbugs
what is the registration fee for shutterbugs,shutterbugs
tell me about shutterbugs,shutterbugs
who is the coordinator of shutterbus,shutterbugs
what are the role of shutterbugs members,shutterbugs
coordinator of shutterbugs,shutterbugs
whom to contact for queries regarding shutterbugs,shutterbugs
what is shutterbugs all about,shutterbugs
I want to register for spandan,spandan
coordinator of spandan,spandan
how can I register for spandan,spandan
the person to contact for queries related to spandan,spandan
what kind of activities are done by spandan,spandan
what is spandan all about,spandan
I want information on spandan,spandan
how much do I need to pay to become a member of spandan,spandan
tell me about spandan,spandan
how can we participate in poetry,techfest
where is felicific conducted,techfest
which branch will conduct felicific in 2020,techfest
how can we take part in cultural night,techfest
who can participate in felicific,techfest
who organizes felicific,techfest
how can we participate in singing,techfest
what is felicific,techfest
what is ddu's techfest named,techfest
what is cultural night of felicific,techfest
how can I participate in techfest,techfest
what are cultural events in felicific,techfest
I want to become committee member of felicific,techfest
when is the annual cultural fest ,techfest
how can we participate in dancing,techfest
when is the annual technical fest ,techfest
what are technical events in felicific,techfest
how can we participate in hosting in cultural night,techfest
what is ddu's techfest called,techfest
how can I become the committee member of techfest committee,techfest
how is felicific celebrated,techfest
how can we take part in drama in cultural night,techfest
is the techfest called felicific,techfest
how can we take part in drama,techfest
which events are the part of annual techfest,techfest
how can we take part in poetry,techfest
how can we participate in cultural night,techfest
what is the name of techfest in ddu,techfest
is felicific organized every year,techfest
by whom will the filicific be conducted in 2020,techfest
by which branch will felicific be conducted in 2020,techfest
what is the annual techfest called,techfest
what are the events in cultural night,techfest
how can we participate in singing in cultural night,techfest
how can we take part in dancing,techfest
what are the events in techfest,techfest
how can we take part in hosting,techfest
how is cultural night celebrated,techfest
what do we call the techfest of ddu,techfest
who organizes the annual techfest,techfest
what is done in felicific,techfest
how can we participate in drama,techfest
how can we take part in poetry in cultural night,techfest
how can we participate in drama in cultural night,techfest
how can we participate in poetry in cultural night,techfest
how can we take part in hosting in cultural night,techfest
how can we participate in hosting,techfest
what is done in cultural night,techfest
how to participate in felicific,techfest
how can we participate in dancing in cultural night,techfest
how can we take part in dancing in cultural night,techfest
what are cultural events in techfest,techfest
what are the competitions in techfest>,techfest
how can we participate in felicific,techfest
how can we take part in singing in cultural night,techfest
what do we call the techfest in ddu,techfest
what are the competitions in felicific,techfest
who will conduct felicific in 2020,techfest
who can participate in techfest,techfest
what are the events in felicific,techfest
how can we take part in singing,techfest
what are technical events in techfest,techfest
show me the time table of sem 5,timetable
show me the time table of information technology,timetable
sem5 time table,timetable
computer time table,timetable
4th year time table,timetable
sem3 time table,timetable
mechanical time table,timetable
show me the time table of cl,timetable
sem1 time table,timetable
show me the time table of ch,timetable
show me the time table of civil,timetable
sem4 time table,timetable
sem6 time table,timetable
show me the time table of instrumentation and control,timetable
civil time table,timetable
sem6 time table,timetable
show me the time table of ic,timetable
sem7 time table,timetable
show me the time table of sem 1,timetable
instrumentation and control time table,timetable
sem5 time table,timetable
chemical time table,timetable
show me the time table of sem 3,timetable
show me the time table of mh,timetable
show me the time table of sem 6,timetable
sem4 time table,timetable
sem2 time table,timetable
show me the time table of sem 4,timetable
show me the time table of it,timetable
show me the time table of ce,timetable
show me the time table of mechanical,timetable
show me the time table of sem 7,timetable
sem7 time table,timetable
information and technology time table,timetable
sem1 time table,timetable
sem2 time table,timetable
sem3 time table,timetable
2nd year time table,timetable
electronics and communication time table,timetable
show me the time table of electronics and communication,timetable
show me the time table of ec,timetable
show me the time table of computer,timetable
show me the time table of chemical,timetable
1st year time table,timetable
show me the time table of sem 2,timetable
3rd year time table,timetable
to whom should I consult for transportation,transportation
what is the leaving time,transportation
what is the fees structure for transportation,transportation
is transportation facility available,transportation
how can we commute to baroda,transportation
Does the university provide transportation facility,transportation
how can we commute to different citites,transportation
to which cities is transportation available,transportation
what are the transportation facilities in ddu,transportation
does the university provide bus facility,transportation
is transportation facility available in ddu,transportation
what is the pickup time,transportation
how much do I have to pay to use transportation facility,transportation
for which cities is the transportation facility available,transportation
how can we commute to ahmedabad,transportation
is bus facility available for ahmedabad,transportation
from where can I get transportation in ddu,transportation
what is the transportation facilty available,transportation
can I travel for a day without any pass,transportation
what is the fees for using bus facility,transportation
what is the fees for transportation in ddu,transportation
where can I get transportation from,transportation
tell me about transportation facility,transportation
where should i get information about transportation,transportation
to whom should I meet for transportation facility,transportation
is bus facility available for vadodra,transportation
transportation facility is available to which cities,transportation
to whom do I have to pay the fees for bus facility,transportation
whom to contact for queries regarding transportation facility,transportation
when is viva exam,viva
when are practicals conducted,viva
how much marks are practicals of,viva
what questions are asked in practicals,viva
who conducts viva,viva
how many marks are practicals of,viva
what is the weightage for practicals,viva
when do practicals start,viva
what is the timetable for practicals,viva
by whom is practicals conducted,viva
what are the questions in practicals,viva
what questions do teachers ask in practicals,viva
what are the marks for viva,viva
what date does viva start,viva
what is asked in practicals,viva
what is the weightage for viva,viva
what is viva's timetable,viva
who takes viva,viva
what is the schedule for practicals,viva
what questions are asked in viva,viva
what date does practicals start,viva
what is the schedule for viva,viva
what is the timetable for viva,viva
what is the timetable for practicals and viva,viva
when is practical exam,viva
what questions do teachers ask in viva,viva
who conducts practicals,viva
who takes practicals,viva
when is viva conducted,viva
what is the timetable for viva and practicals,viva
when  is viva,viva
when does vivas start,viva
what are the questions in viva,viva
by whom is viva conducted,viva
when do viva start,viva
what is practical's timetable,viva
when does practicals start,viva
how many marks are viva of,viva
how much marks are vivas of,viva
what are the marks for practicals,viva
what is asked in viva,viva
when  is practical,viva
what is asked by teachers in viva,viva
what is asked by teachers in practicals,viva
